nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,3.389830508474567065e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.779661016949134131e-03,2.542372881355925516e-03,nan,nan,-1.694915254237283533e-03,nan,6.779661016949134131e-03,nan,nan,nan,nan,nan,-1.694915254237283533e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.084745762711851032e-03,nan,nan,nan,nan,nan,nan,nan,nan,8.474576271186463200e-03,nan
nan,nan,nan,nan,nan,nan,6.661338147750938996e-17,nan,nan,nan,nan,nan,1.626016260162632633e-03,4.065040650406514904e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.130081300813163164e-04,-3.252032520325154243e-03,nan,0.000000000000000000e+00,nan,-3.252032520325176361e-03,nan,nan,nan,nan,nan,0.000000000000000000e+00,8.130081300813385425e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.439024390243948841e-03,nan
nan,nan,nan,nan,4.897959183673417094e-03,nan,4.081632653061162408e-03,nan,nan,nan,nan,nan,-8.163265306122524309e-03,-1.224489795918373182e-02,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,1.142857142857138866e-02,nan,nan,2.448979591836697271e-03,nan,4.081632653061184959e-03,nan,nan,nan,nan,nan,-6.530612244898014937e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.632653061224442802e-03,nan
nan,nan,nan,nan,nan,nan,1.732283464566937090e-02,nan,nan,nan,nan,nan,nan,1.259842519685043863e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,-7.874015748031481859e-04,3.937007874015741038e-03,nan,-2.362204724409444449e-03,nan,-3.937007874015741038e-03,nan,nan,nan,nan,nan,1.417322834645675690e-02,-1.574803149606296372e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.448818897637845451e-03,nan
nan,nan,nan,nan,0.000000000000000000e+00,3.265306122448951957e-03,8.163265306122324599e-04,nan,nan,nan,nan,nan,nan,8.163265306122324599e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,2.448979591836697271e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.897959183673417094e-03,nan
nan,nan,nan,nan,0.000000000000000000e+00,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,3.196721311475412414e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,8.196721311475530175e-04,nan,4.098360655737742428e-03,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,8.196721311475530175e-04,nan,nan,nan,8.196721311475530175e-04,nan,nan,nan,nan,nan,nan,nan,nan,1.557377049180326198e-02,nan
nan,nan,nan,nan,nan,nan,-3.875968992248068901e-03,nan,nan,nan,nan,nan,nan,-7.751937984496137801e-03,nan,nan,nan,nan,nan,nan,1.550387596899227604e-03,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,nan,-7.751937984496138018e-04,nan,nan,nan,nan,nan,-8.527131782945751928e-03,-7.751937984496138018e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.651162790697683028e-03,nan
nan,nan,nan,nan,4.799999999999982232e-03,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,8.000000000000006889e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,-8.000000000000006889e-04,nan,8.000000000000006889e-04,nan,nan,nan,nan,nan,4.000000000000003553e-03,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,4.000000000000003553e-03,nan,nan,nan,nan,nan,nan,nan,nan,1.279999999999990000e-02,nan
nan,nan,6.870229007633610156e-03,nan,nan,nan,4.580152671755754849e-03,nan,nan,nan,nan,nan,nan,6.870229007633610156e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,-1.526717557251888648e-03,-3.816793893129721837e-03,nan,nan,nan,-3.816793893129721837e-03,nan,nan,nan,nan,nan,7.633587786259554697e-03,-3.816793893129721837e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.053435114503844083e-03,nan
nan,nan,nan,nan,nan,nan,8.429118773946364662e-03,nan,nan,nan,nan,nan,nan,5.363984674329524971e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,-1.532567049808419846e-03,nan,-7.662835249042209817e-04,nan,8.429118773946387214e-03,nan,nan,nan,nan,nan,-7.662835249042209817e-04,6.130268199233701934e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.452107279693489447e-02,nan,nan,nan,nan,nan,nan,nan,nan,7.662835249041988640e-04,nan
