nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.030927835051520611e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.061855670103085458e-03,0.000000000000000000e+00,nan,nan,nan,nan,2.061855670103085458e-03,1.030927835051542729e-03,0.000000000000000000e+00,nan,nan,-5.154639175257713646e-04,1.546391752577314094e-02,1.701030927835045503e-02,nan,nan,nan,nan,nan,nan,nan,nan,-1.546391752577358546e-03
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.578947368421035249e-03,nan,9.999999999999963779e-03,nan,-5.263157894736858466e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.631578947368362446e-03,1.052631578947362846e-02,-8.947368421052658699e-03,nan,nan,nan,nan,0.000000000000000000e+00,2.631578947368384998e-03,-5.263157894737080511e-04,2.631578947368384998e-03
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.249343832020913819e-04,nan,nan,nan,nan,nan,nan,nan,5.774278215223094431e-03,-2.099737532808410197e-03,-1.574803149606274254e-03,nan,nan,4.199475065616797842e-03,0.000000000000000000e+00,nan,nan,nan,nan,-5.249343832020913819e-04,2.467191601049867344e-02,2.099737532808398921e-02,nan,nan,nan,nan,nan,1.049868766404182764e-03,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,1.316455696202538730e-02,nan,nan,2.220446049250313204e-17,nan,nan,0.000000000000000000e+00,nan,3.544303797468373405e-03,1.518987341772159907e-03,3.139240506329119690e-02,nan,nan,nan,nan,nan,nan,1.012658227848128867e-03,1.367088607594943959e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.025316455696213498e-03,nan,nan,nan,2.531645569620266656e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.149606299212570626e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.149606299212548508e-03,nan,nan,nan,nan,nan,0.000000000000000000e+00,2.624671916010568040e-03,nan,nan,nan,-1.049868766404182764e-03,3.097112860892392572e-02,3.569553805774285798e-02,nan,5.249343832021025058e-03,-1.049868766404160646e-03,nan,nan,0.000000000000000000e+00,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.226221079691464072e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.056555269922877294e-03,nan,nan,nan,nan,3.598971722365007508e-03,nan,nan,nan,nan,nan,nan,nan,nan,-2.056555269922877294e-03,1.645244215938299753e-02,nan,nan,0.000000000000000000e+00,2.056555269922855176e-03,0.000000000000000000e+00,-5.141388174807248529e-04,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.617250673854453338e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.078167115902983709e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.425876010781673545e-02,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,3.773584905660380684e-02,2.641509433962268075e-02,nan,-1.940700808625335158e-02,1.078167115902983709e-03,nan,nan,5.390835579514830292e-03,nan,nan,-3.773584905660354403e-03
nan,nan,nan,nan,nan,nan,-1.007556675062968275e-02,nan,nan,nan,6.045340050377889969e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.022670025188967102e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.914357682619651640e-02,nan,3.022670025188967102e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.526448362720406571e-02,2.720403022670030493e-02,nan,4.534005037783428102e-03,5.037783375314930714e-03,nan,nan,-1.007556675062959472e-03,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,2.972292191435772432e-02,nan,nan,nan,nan,nan,3.022670025188922693e-02,nan,8.564231738035310224e-03,1.460957178841317851e-02,6.649874055415623542e-02,nan,nan,7.304785894206552999e-02,nan,2.468513853904290636e-02,nan,1.561712846347611608e-02,4.440892098500626408e-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.612090680100761869e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,2.583979328165409046e-03,nan,nan,-1.550387596899205269e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.651162790697727263e-03,nan,nan,nan,nan,nan,nan,nan,5.167958656330906130e-04,nan,nan,4.134366925064636433e-03,nan,nan,nan,nan,nan,nan,2.067183462532362452e-03,nan,nan,-4.134366925064547962e-03,nan,nan,nan,nan,nan,-5.167958656330684953e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.909560723514214825e-02
