41,2,4,21,61,19,44,25,7,18
41,61,11,21,8,33,2,57,25,45
21,2,61,41,25,40,39,33,14,58
41,50,11,21,60,30,4,33,52,3
52,21,61,2,44,46,4,7,1,19
21,52,4,61,8,2,44,17,20,47
2,61,21,41,13,40,5,4,52,14
21,61,31,2,14,19,40,48,8,11
21,32,48,11,15,43,5,6,34,12
11,21,52,41,30,25,4,26,50,49
4,21,52,11,44,46,50,60,26,23
21,52,41,61,25,44,26,4,13,35
4,21,41,52,44,45,20,10,46,6
41,50,21,11,57,45,33,40,44,60
21,61,41,50,25,30,3,58,9,49
2,11,21,41,25,46,26,7,33,35
61,4,52,21,2,40,19,44,33,14
41,61,4,21,19,1,13,25,46,18
50,41,11,21,44,46,4,52,5,10
21,61,41,2,30,9,3,25,57,44
2,41,61,21,46,17,8,33,30,20
21,2,50,61,8,46,47,40,33,4
41,4,52,21,44,46,12,10,13,6
11,21,61,2,13,1,19,35,18,14
11,21,25,41,4,52,35,59,24,17
41,21,52,4,25,44,13,1,46,26
52,41,4,21,6,40,13,33,39,53
61,21,41,11,33,45,57,4,30,52
4,21,52,61,46,44,2,11,50,8
2,61,4,21,19,7,44,46,18,13
41,32,21,48,25,33,30,49,52,39
11,21,41,50,25,60,6,4,52,13
41,21,22,31,16,12,10,25,50,30
4,52,50,21,44,46,6,20,55,42
21,2,4,52,19,46,13,61,7,59
61,2,41,21,44,13,25,1,35,19
61,21,41,52,44,33,4,13,40,2
61,50,21,41,25,30,26,35,58,54
2,41,61,21,4,52,13,40,58,6
21,11,50,61,19,2,33,20,40,13
4,11,21,41,44,6,26,1,25,30
41,52,50,21,4,25,60,46,44,11
41,50,21,11,33,57,25,35,28,26
61,52,11,21,44,1,19,2,4,13
41,21,11,61,25,30,35,26,49,58
21,41,61,52,19,2,25,30,13,6
52,21,41,61,25,57,45,35,26,18
2,21,41,61,8,44,47,26,35,19
41,61,2,21,30,33,25,9,28,3
21,11,50,2,33,46,4,52,40,28
21,11,61,2,44,52,46,4,42,59
2,41,61,21,13,19,1,46,4,42
31,21,11,50,52,44,4,46,59,24
2,61,21,41,40,14,33,42,35,18
2,61,41,21,30,25,9,58,3,49
52,21,61,4,2,19,11,46,35,13
2,41,11,21,4,52,36,46,35,1
21,41,25,61,46,4,52,13,24,44
11,21,41,52,45,43,25,7,26,35
21,52,50,11,44,43,6,45,10,37
4,52,21,61,44,46,50,38,8,10
50,52,11,21,44,46,20,10,1,45
21,41,50,61,19,13,35,1,18,25
4,41,52,21,25,44,50,57,11,46
21,31,61,2,44,40,13,4,24,14
21,41,2,61,40,14,13,19,48,8
22,31,21,41,16,12,10,30,2,61
11,41,52,21,4,25,24,39,36,18
4,41,21,52,25,44,46,13,7,26
21,41,25,61,40,6,8,20,4,37
2,52,21,61,4,44,46,45,55,14
50,11,21,31,60,46,4,7,52,42
41,4,11,21,13,25,39,40,6,19
21,11,41,50,44,10,20,60,6,46
11,21,2,61,8,7,52,4,46,50
4,41,52,21,44,46,1,7,13,55
21,52,2,61,19,46,4,13,1,17
21,2,41,61,19,25,14,40,13,33
2,4,21,41,19,13,1,46,25,35
21,52,4,41,6,39,40,33,25,37
2,21,41,61,19,25,14,40,33,26
52,11,21,61,8,2,12,47,50,19
41,38,11,21,25,26,52,4,39,53
52,11,50,21,13,19,1,42,24,40
52,41,61,21,8,45,40,47,2,1
41,21,52,4,44,43,46,45,25,30
2,21,52,41,46,4,25,7,61,50
2,11,21,61,19,13,1,46,7,18
11,21,61,41,19,13,8,44,2,39
52,50,21,41,30,57,25,44,33,45
11,61,21,31,46,50,7,2,44,52
50,11,2,21,60,61,19,4,40,52
2,41,21,61,46,33,4,52,35,26
21,4,41,52,44,25,30,50,60,11
21,4,61,41,44,19,46,2,13,52
52,4,41,21,44,46,30,53,58,50
2,21,41,61,1,35,17,33,46,19
41,2,21,61,44,46,4,52,24,59
2,21,40,41,33,57,19,46,17,61
61,2,41,21,7,40,4,19,52,33
