33,26,22,31,48,27,35,29,16,32
33,26,31,22,5,15,16,12,48,44
33,26,31,48,22,32,16,29,15,35
33,26,31,22,44,15,16,29,48,32
33,26,35,22,31,16,15,27,44,48
33,26,22,31,15,44,48,27,16,5
33,26,31,16,48,27,23,22,56,15
33,26,31,22,27,15,29,48,56,32
33,26,31,35,16,32,48,22,15,27
33,31,26,22,16,44,29,48,32,27
33,26,31,22,16,27,48,32,29,23
33,26,31,16,22,15,27,29,48,23
33,26,31,22,48,29,16,32,56,23
33,26,44,31,48,15,22,16,32,35
33,26,16,31,22,32,48,29,44,35
33,26,31,16,22,44,35,48,15,32
33,26,31,22,16,15,48,35,44,23
33,26,16,31,22,15,35,48,27,23
33,26,31,15,29,16,27,22,23,48
33,26,31,22,15,35,56,16,27,44
33,26,15,31,22,16,44,29,48,56
33,26,31,22,48,32,27,16,29,15
33,26,31,16,22,35,48,27,29,32
33,26,31,16,48,22,35,15,32,17
33,26,31,16,22,48,15,32,44,35
33,26,31,16,22,27,48,23,34,32
33,26,31,16,15,22,29,27,35,32
33,26,31,16,15,22,48,27,56,29
33,26,31,22,15,16,48,35,56,27
33,26,31,23,16,27,22,32,34,35
26,33,15,35,16,31,27,23,22,56
33,26,31,16,22,35,27,32,48,29
33,26,22,31,29,48,32,16,27,44
33,26,35,16,48,31,32,22,27,23
33,26,22,31,15,48,32,44,29,27
33,26,31,16,22,15,35,44,27,48
33,26,31,16,22,48,32,15,29,44
33,26,31,22,48,29,32,27,16,23
33,26,16,31,22,29,48,27,15,23
33,26,31,16,15,22,48,32,56,29
33,26,31,15,22,16,29,48,44,27
33,26,31,22,16,27,15,23,48,34
33,26,44,31,15,22,48,16,27,32
33,26,31,16,22,48,27,23,34,35
33,26,31,16,22,27,35,44,29,15
33,26,22,31,16,35,29,32,48,15
33,26,31,16,15,22,44,5,27,12
33,26,31,15,22,16,27,5,29,12
33,26,31,22,15,29,35,32,48,16
33,26,31,27,23,32,29,34,48,22
33,26,31,22,16,27,23,34,48,15
33,26,31,16,27,48,22,23,34,29
33,26,31,22,15,16,29,27,32,48
33,26,35,15,31,22,48,44,32,27
33,26,31,22,15,48,29,32,16,23
33,26,31,22,16,32,48,29,23,27
33,26,15,31,29,27,56,22,44,16
33,26,22,31,16,48,32,35,15,27
33,26,31,15,22,27,16,23,34,44
33,26,15,31,35,29,48,16,22,56
33,26,15,16,31,22,48,12,27,32
33,26,31,22,16,48,23,27,35,32
33,26,31,22,27,23,34,16,15,48
33,26,31,35,32,48,27,15,29,56
33,26,31,22,16,35,48,27,15,32
33,26,31,35,22,15,29,44,16,56
33,26,22,31,16,29,35,48,15,32
33,26,31,22,15,16,44,48,29,27
33,26,31,22,16,15,23,27,34,48
33,26,31,48,32,27,23,34,16,29
33,26,31,22,15,16,35,48,56,32
33,31,26,22,16,48,32,29,15,27
33,26,31,22,16,48,15,35,32,27
33,26,31,35,22,15,29,16,56,27
33,31,16,22,26,15,27,48,23,32
33,26,16,31,22,27,48,15,35,32
33,26,31,22,15,16,35,44,48,27
33,26,31,22,48,15,16,27,35,23
33,26,31,22,48,16,29,32,27,15
33,26,31,22,48,56,32,35,16,27
33,26,31,15,22,35,48,27,17,44
33,26,16,31,22,48,15,32,27,23
33,26,31,48,16,32,22,29,15,27
33,26,31,16,23,27,35,15,32,44
33,26,22,31,48,44,16,15,27,23
33,26,31,16,29,22,56,27,35,48
33,26,15,31,16,22,27,5,48,32
33,26,31,16,35,48,15,44,32,27
33,26,31,15,27,22,29,32,48,16
33,26,31,16,22,15,35,5,48,12
33,26,31,16,22,35,48,56,15,29
33,26,31,15,22,48,16,29,32,27
33,26,16,31,22,15,27,35,29,48
33,26,15,31,22,35,16,48,27,32
33,26,31,16,22,15,44,48,35,23
33,26,16,35,31,22,48,32,29,56
33,26,31,15,16,22,35,27,5,29
33,26,31,22,29,15,48,16,27,56
33,26,35,16,31,22,48,56,15,27
33,26,31,35,16,22,29,44,48,32
