UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
5.0,2.0,1.0,1.0,1.0,24.0,3.0,18.0,24.0,29.0,29.0,1.0,1.0,9.0,1.0,8.0,8.0,32.0,1.0,1.0,2.0,1.0,1.0,42.0,1.0
69.0,1.0,3.0,1.0,4.0,16.0,1.0,1.0,67.0,67.0,45.0,4.0,1.0,2.0,1.0,1.0,31.0,78.0,1.0,1.0,1.0,4.0,1.0,1.0,67.0
2.0,3.0,7.0,1.0,2.0,13.0,3.0,13.0,1.0,1.0,1.0,1.0,4.0,9.0,5.0,1.0,6.0,6.0,3.0,2.0,4.0,13.0,1.0,1.0,1.0
1.0,2.0,2.0,1.0,55.0,21.0,21.0,36.0,2.0,2.0,35.0,55.0,1.0,2.0,11.0,2.0,7.0,28.0,1.0,1.0,3.0,4.0,4.0,11.0,21.0
49.0,4.0,3.0,1.0,1.0,20.0,4.0,9.0,2.0,28.0,57.0,18.0,1.0,6.0,49.0,23.0,11.0,40.0,5.0,7.0,6.0,24.0,1.0,4.0,5.0
2.0,1.0,1.0,1.0,1.0,16.0,1.0,16.0,39.0,1.0,16.0,1.0,1.0,8.0,1.0,11.0,58.0,18.0,1.0,1.0,15.0,12.0,1.0,1.0,1.0
1.0,1.0,2.0,1.0,1.0,21.0,23.0,2.0,1.0,70.0,39.0,1.0,1.0,1.0,69.0,9.0,8.0,67.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0
65.0,6.0,5.0,1.0,1.0,69.0,6.0,6.0,16.0,1.0,1.0,16.0,2.0,2.0,4.0,2.0,82.0,16.0,3.0,1.0,72.0,13.0,2.0,25.0,16.0
1.0,1.0,2.0,1.0,4.0,17.0,18.0,19.0,17.0,73.0,75.0,14.0,1.0,16.0,9.0,22.0,6.0,55.0,1.0,1.0,1.0,11.0,1.0,75.0,70.0
2.0,2.0,2.0,2.0,1.0,12.0,2.0,40.0,12.0,40.0,42.0,1.0,2.0,2.0,2.0,2.0,9.0,12.0,2.0,2.0,12.0,8.0,1.0,2.0,9.0
1.0,1.0,4.0,2.0,1.0,18.0,11.0,54.0,34.0,57.0,60.0,1.0,5.0,8.0,1.0,34.0,12.0,63.0,1.0,2.0,15.0,7.0,1.0,1.0,4.0
1.0,1.0,2.0,1.0,45.0,18.0,45.0,19.0,50.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,9.0,38.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0
4.0,4.0,5.0,1.0,4.0,20.0,14.0,23.0,59.0,59.0,29.0,29.0,1.0,6.0,2.0,59.0,8.0,60.0,6.0,1.0,8.0,22.0,1.0,8.0,2.0
2.0,2.0,2.0,1.0,1.0,19.0,21.0,2.0,20.0,42.0,22.0,12.0,1.0,26.0,1.0,2.0,18.0,62.0,2.0,2.0,4.0,13.0,2.0,18.0,1.0
1.0,2.0,44.0,2.0,44.0,18.0,14.0,44.0,18.0,50.0,47.0,10.0,2.0,3.0,2.0,21.0,11.0,10.0,2.0,2.0,6.0,18.0,1.0,49.0,13.0
1.0,1.0,2.0,1.0,1.0,23.0,20.0,4.0,8.0,60.0,60.0,14.0,1.0,16.0,1.0,23.0,10.0,17.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0
1.0,1.0,2.0,1.0,1.0,49.0,1.0,29.0,24.0,50.0,29.0,1.0,1.0,2.0,1.0,14.0,8.0,42.0,1.0,1.0,5.0,59.0,1.0,1.0,1.0
15.0,6.0,3.0,3.0,5.0,13.0,2.0,4.0,1.0,49.0,34.0,14.0,3.0,4.0,5.0,12.0,5.0,3.0,2.0,2.0,5.0,10.0,1.0,3.0,1.0
1.0,1.0,98.0,1.0,98.0,23.0,24.0,49.0,102.0,76.0,59.0,98.0,1.0,102.0,1.0,28.0,33.0,117.0,1.0,1.0,14.0,74.0,98.0,102.0,98.0
2.0,2.0,134.0,2.0,1.0,10.0,1.0,2.0,32.0,86.0,86.0,2.0,2.0,8.0,2.0,1.0,60.0,137.0,2.0,2.0,7.0,83.0,2.0,1.0,1.0
2.0,2.0,2.0,2.0,1.0,23.0,9.0,23.0,23.0,35.0,35.0,1.0,2.0,3.0,3.0,6.0,47.0,38.0,2.0,2.0,1.0,23.0,1.0,2.0,1.0
1.0,1.0,1.0,1.0,1.0,76.0,76.0,1.0,75.0,75.0,75.0,1.0,1.0,1.0,4.0,77.0,8.0,18.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0
40.0,3.0,20.0,2.0,1.0,23.0,26.0,5.0,41.0,41.0,3.0,23.0,2.0,6.0,3.0,28.0,9.0,6.0,2.0,2.0,9.0,12.0,1.0,3.0,3.0
1.0,1.0,15.0,1.0,1.0,17.0,1.0,50.0,1.0,1.0,1.0,16.0,1.0,3.0,1.0,1.0,11.0,15.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
1.0,2.0,2.0,1.0,1.0,12.0,16.0,26.0,1.0,1.0,22.0,1.0,1.0,1.0,3.0,1.0,14.0,7.0,1.0,1.0,2.0,15.0,1.0,1.0,1.0
17.0,57.0,57.0,1.0,57.0,17.0,57.0,32.0,17.0,1.0,33.0,57.0,57.0,14.0,57.0,4.0,91.0,66.0,57.0,57.0,4.0,18.0,3.0,57.0,57.0
