nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.453471196454921524e-03,nan,nan,nan,3.545051698670602380e-02,nan,0.000000000000000000e+00,9.748892171344137117e-03,-8.862629246676467787e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.388478581979319879e-02,nan,nan,nan,2.540620384047265201e-02,nan,nan,nan,nan,nan,nan,7.680945347119605415e-03,2.038404726735598693e-02,nan,nan,nan,nan,nan,nan,1.683899556868537900e-02,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,-1.466275659824045619e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.865102639296182257e-04,nan,nan,nan,nan,nan,-4.985337243401754756e-03,-5.865102639296182474e-03,-4.985337243401754756e-03,-7.917888563049845993e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.049853372434014817e-02,nan,nan,5.571847507331373524e-03,nan,8.797653958944273711e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.865102639296182474e-03,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.301059001512860913e-02,nan,nan,nan,-6.051437216338939606e-04,nan,nan,nan,nan,nan,-1.210287443267743469e-03,nan,nan,nan,nan,nan,-7.564296520423563486e-03,-2.723146747352478587e-03,-3.025718608169447685e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.774583963691417327e-03,2.420574886535575843e-03,nan,nan,nan,nan,nan,nan,nan,4.538577912254160469e-03,nan,nan,nan,nan,nan,nan,5.748865355521970075e-03,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.067846607669619946e-02,nan,nan,nan,2.566371681415935413e-02,nan,nan,5.899705014749568200e-04,1.150442477876110169e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.374631268436538170e-03,nan,nan,nan,2.861356932153396107e-02,nan,nan,4.424778761061953780e-03,nan,-1.769911504424737103e-03,nan,nan,-7.374631268436538170e-03,nan,nan,nan,nan,nan,nan,2.654867256637194559e-03,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.754385964912330608e-03,nan,nan,nan,3.128654970760238324e-02,nan,-1.461988304093542234e-03,7.017543859649167173e-03,2.046783625731074530e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.771929824561208516e-04,nan,nan,nan,nan,2.923976608187150820e-03,nan,4.385964912280737940e-03,3.508771929824565372e-02,nan,nan,nan,nan,nan,nan,1.286549707602342371e-02,nan,nan
nan,nan,nan,-8.467153284671624647e-03,nan,nan,nan,nan,nan,nan,4.963503649635003963e-03,nan,nan,nan,2.919708029196721672e-04,nan,nan,nan,nan,nan,-7.299270072992780287e-03,nan,nan,nan,nan,nan,-4.671532846715375706e-03,2.043795620437904772e-03,-6.715328467153347698e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.007299270072930852e-03,nan,nan,nan,2.043795620437882654e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.489051094890507868e-02,nan,nan
nan,nan,nan,-3.886397608370706445e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.195814648729465234e-03,nan,nan,nan,8.370702541106122413e-03,nan,-1.494768310911798095e-03,3.886397608370684327e-03,-1.494768310911820429e-03,nan,nan,nan,nan,-1.195814648729420782e-03,nan,nan,nan,nan,nan,3.288490284005951385e-03,nan,nan,nan,nan,nan,-4.783258594917794149e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.783258594917771597e-03,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.927536231884066358e-03,nan,nan,nan,2.753623188405798089e-02,nan,-4.637681159420270656e-03,1.072463768115945390e-02,-5.797101449275032575e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.898550724637671654e-03,nan,nan,nan,1.449275362318842506e-02,nan,nan,nan,nan,2.318840579710168721e-03,nan,nan,3.855072463768116631e-02,nan,nan,nan,nan,nan,nan,6.666666666666665360e-03,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.898550724637294568e-04,2.927536231884058163e-02,nan,nan,nan,1.391304347826083365e-02,nan,2.898550724637516287e-04,nan,-5.797101449275477098e-04,nan,nan,nan,nan,-2.898550724637738549e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.188405797101448405e-02,nan,nan,nan,nan,nan,nan,nan,3.999999999999999389e-02,nan,nan,nan,nan,-8.695652173913081748e-03,nan,-2.608695652173920188e-03,nan,nan
-4.366812227074245989e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.493449781659374413e-03,nan,nan,nan,nan,nan,-2.037845705968010981e-03,nan,nan,nan,nan,nan,2.911208151382793652e-03,-9.315866084425051055e-03,-5.822416302765809782e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.822416302765809782e-04,nan,nan,nan,nan,nan,nan,nan,3.784570596797665228e-03,nan,nan,nan,nan,8.733624454147825627e-04,nan,-1.455604075691407885e-03,nan,nan
