nan,nan,-1.384083044982695708e-02,nan,2.220446049250313204e-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.076124567473991347e-03,nan,nan,nan,nan,nan,nan,nan,nan,9.688581314878930151e-03,nan,nan,-2.768166089965351431e-03,-6.228373702422107180e-03,nan,-3.460207612456689397e-03,nan,nan,nan,nan,nan,nan,nan,-4.152249134948072032e-03,-8.304498269896164880e-03,nan,6.920415224913823099e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,2.013422818791910096e-03,nan,-1.342281879194651183e-03,nan,nan,nan,nan,nan,nan,nan,-1.342281879194651183e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,-6.711409395973255915e-04,nan,nan,8.053691275167751407e-03,-6.711409395973478176e-04,nan,3.355704697986516827e-03,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,6.756756756756798332e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.756756756756798332e-04,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.054054054054035197e-03,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.027027027027039716e-03,nan,nan,nan,nan,1.351351351351359666e-03,2.229729729729728119e-02,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.600660066006657986e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.280528052805255439e-03,1.848184818481852718e-02,nan,nan,nan,2.640264026402672388e-03,nan,-1.320132013201269407e-03,nan,1.716171617161719315e-02,nan,nan,nan,nan,nan,1.320132013201380430e-03,nan,nan,1.980198019802026192e-03,nan,nan,1.980198019802026192e-03,nan,nan,nan,nan,nan,nan,1.980198019801981957e-02,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,-5.442176870748305015e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.850340136054428541e-02,nan,nan,nan,nan,nan,-8.843537414965995866e-03,nan,-1.700680272108845426e-02,nan,nan,nan,nan,-6.938775510204089891e-02,-5.578231292517012857e-02,-4.557823129251705602e-02,nan,nan,nan,nan,nan,9.523809523809512526e-03,nan,-6.802721088435381702e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.482993197278920046e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,1.023890784982943794e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,1.365187713310584902e-02,nan,nan,nan,nan,4.095563139931801371e-03,2.047781569965900685e-03,nan,nan,nan,nan,nan,nan,nan,nan,1.911262798634818377e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.825938566553003007e-04,nan,nan,nan,-6.825938566552891551e-03,nan,nan,nan,nan,-1.092150170648460358e-02,nan,nan,-6.143344709897568916e-03,nan,nan,nan,nan
nan,nan,-8.360128617363349335e-03,nan,nan,nan,-3.215434083601276163e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.572347266881003409e-03,nan,nan,nan,nan,6.430868167202508524e-04,nan,nan,-2.572347266881025527e-03,nan,nan,nan,nan,nan,nan,nan,3.858520900321549350e-03,-5.787781350482301690e-03,nan,6.430868167202729701e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.028938906752410211e-02,nan,nan,-3.279742765273312155e-02,nan,nan,nan,nan
nan,nan,5.333333333333345298e-03,1.333333333333341962e-03,-1.999999999999979659e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.066666666666665611e-02,nan,nan,-6.666666666666598139e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.666666666666820401e-04,-2.066666666666663182e-02,nan,nan,nan,nan,nan,nan,nan,nan,3.333333333333334675e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.666666666666820401e-04,nan,nan,nan,nan,nan,nan,nan,nan,7.333333333333347075e-03,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.298701298701301389e-02,nan,nan,nan,nan,nan,nan,nan,nan,-1.298701298701288075e-03,2.597402597402620385e-03,nan,nan,nan,nan,nan,nan,3.246753246753251304e-02,-4.220779220779215940e-02,nan,nan,nan,nan,nan,-1.298701298701265740e-03,1.038961038961043817e-02,-5.259740259740253165e-02,nan,nan,nan,nan,nan,1.168831168831174772e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.493506493506995486e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,-3.257328990228014476e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.514657980456028518e-04,0.000000000000000000e+00,nan,nan,nan,nan,nan,6.514657980456028518e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.514657980456028518e-04,nan,-1.302931596091205704e-03,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,1.302931596091205704e-03,2.801302931596081486e-02,nan,-8.469055374592837290e-03,nan,nan,nan,nan
nan,nan,nan,nan,nan,-1.986754966887427191e-03,nan,nan,nan,nan,nan,nan,nan,nan,1.456953642384102229e-02,nan,nan,nan,nan,nan,nan,7.947019867549597744e-03,nan,nan,nan,nan,nan,nan,nan,3.973509933774810148e-03,nan,nan,nan,nan,nan,nan,3.973509933774810148e-03,nan,1.059602649006619046e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.271523178807883694e-03,nan,nan,2.649006622516569733e-03,nan,nan,nan,0.000000000000000000e+00,3.509933774834435305e-02,nan,nan,nan,nan,nan,nan
nan,nan,-1.324503311258280400e-02,nan,nan,-7.284768211920566658e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.384105960264899446e-02,nan,nan,-9.271523178807994717e-03,nan,1.125827814569535512e-02,nan,-3.973509933774854383e-03,nan,nan,nan,-4.635761589403997358e-03,nan,nan,nan,nan,nan,nan,nan,nan,-9.271523178807972165e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.649006622516569733e-03,nan,nan,nan,nan,nan,nan,nan,nan,-1.523178807947023206e-02,nan,nan,nan,nan,nan,nan,nan
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.013422818791910096e-03,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.220446049250313204e-17,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,-6.711409395973255915e-04,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,-1.476510067114098455e-02,1.610738255033550281e-02,nan,nan,nan,nan,nan,0.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.177993527508095890e-03,nan,-1.682847896440133745e-02,nan,nan,nan,nan,-1.165048543689324242e-02,9.708737864077665591e-03,nan,nan,nan,nan,nan,nan,nan,nan,-4.530744336569592252e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,6.472491909385258641e-04,0.000000000000000000e+00,nan,nan,nan,nan,-7.766990291262154678e-03,1.941747572815531037e-02,nan,nan,nan,nan,nan,nan
nan,2.047781569965878568e-03,nan,nan,nan,-4.778156996587057219e-03,nan,nan,nan,nan,nan,nan,nan,nan,-4.778156996587035535e-03,nan,nan,nan,-3.412969283276479169e-03,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-6.143344709897635703e-03,nan,2.220446049250313204e-17,nan,nan,nan,nan,nan,nan,-2.730375426621178651e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,5.665529010238903179e-02,nan,nan,nan,nan,nan,nan,nan
nan,nan,2.105263157894743300e-03,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.807017543859658022e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.017543859649145056e-04,nan,nan,-3.508771929824572311e-03,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,-3.508771929824572311e-03,nan,nan,nan,nan,nan,nan,-1.052631578947371693e-02,1.052631578947367183e-02,nan,nan,nan,nan,nan,nan
