nan,nan,nan,nan,nan,-1.660899653979235405e-02,nan,nan,-1.038062283737017921e-02,nan,nan,nan,-2.975778546712799441e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.536332179930769648e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,-9.688581314878864231e-03,nan,nan,1.937716262975786030e-02,nan,nan,nan,-5.882352941176464955e-02,0.000000000000000000e+00,nan,2.422145328719731497e-02,nan
nan,nan,nan,nan,nan,9.395973154362410873e-02,5.369127516778471158e-03,nan,9.597315436241607434e-02,nan,nan,nan,-1.610738255033556873e-02,nan,nan,-6.711409395973188911e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.342281879194626680e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.879194630872478219e-02,nan,nan,1.657718120805368733e-01,nan,nan,nan,nan,nan,1.476510067114087353e-02,nan,1.208053691275166007e-02,nan,nan,nan
nan,nan,nan,nan,4.729729729729781167e-03,1.182432432432433123e-01,nan,nan,nan,nan,8.108108108108136314e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.162162162162165335e-02,nan,nan,nan,nan,7.432432432432478815e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.432432432432478815e-03,nan,2.385135135135135476e-01,4.256756756756763238e-02,nan,nan,nan,nan,nan,3.783783783783787463e-02,nan,5.405405405405438665e-03,nan,nan,nan
nan,nan,nan,nan,nan,7.260726072607237395e-03,-1.320132013201313860e-03,nan,nan,nan,nan,nan,nan,nan,nan,-1.320132013201336194e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.320132013201322750e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.600660066006458710e-04,nan,-3.630363036303631968e-02,-3.960396039603963914e-03,nan,nan,nan,nan,nan,-4.620462046204610110e-03,-8.514851485148515475e-02,-1.320132013201336194e-03,nan,nan,nan
nan,nan,nan,nan,nan,2.176870748299319924e-02,nan,nan,nan,nan,nan,nan,3.945578231292514587e-02,nan,nan,-5.442176870748305015e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.040816326530614597e-03,nan,nan,nan,nan,nan,nan,nan,nan,1.156462585034014924e-02,nan,-2.108843537414968258e-02,4.693877551020406852e-02,nan,nan,nan,nan,nan,-3.129251700680275861e-02,-4.285714285714290611e-02,0.000000000000000000e+00,nan,nan,nan
9.556313993174091886e-03,nan,nan,nan,nan,2.320819112627987499e-02,nan,nan,nan,nan,nan,nan,8.191126279863483739e-02,nan,nan,-4.095563139931690348e-03,nan,nan,nan,-1.023890784982930437e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.825938566552905429e-02,8.873720136518792670e-03,nan,nan,nan,nan,nan,-1.023890784982930437e-02,-1.092150170648462613e-02,1.365187713310578267e-03,nan,nan,nan
1.929260450160752340e-03,nan,nan,nan,nan,nan,-6.430868167202508524e-04,nan,nan,nan,nan,nan,nan,nan,nan,-6.430868167202508524e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.215434083601254045e-03,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.501607717041800419e-03,nan,nan,-1.929260450160752340e-03,-8.038585209003219767e-02,6.430868167202508524e-04,nan,-5.144694533762051054e-03,nan
1.333333333333341962e-03,nan,nan,nan,nan,2.000000000000023894e-03,-8.000000000000007105e-03,nan,nan,nan,nan,nan,-1.733333333333331172e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.666666666666598139e-04,nan,nan,9.999999999999986330e-03,nan,nan,nan,nan,nan,2.000000000000023894e-03,-8.266666666666663832e-02,0.000000000000000000e+00,nan,nan,-2.800000000000000405e-02
nan,nan,nan,nan,nan,-1.298701298701299134e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.597402597402620385e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.948051948051943063e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.142857142857184267e-03,nan,-1.818181818181823298e-02,-1.233766233766235912e-02,nan,nan,1.428571428571428006e-02,nan,nan,-5.194805194805240771e-03,-1.363636363636364611e-02,3.246753246753231355e-03,nan,nan,nan
nan,nan,nan,nan,nan,3.778501628664495543e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.837133550488598444e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.140065146579804650e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.478827361563517795e-01,nan,nan,nan,nan,nan,nan,nan,nan,-7.882736156351795309e-02,nan,nan,-8.143322475570036190e-02,nan,nan,nan,nan,nan,-5.798045602605865489e-02,-1.543973941368078362e-01,-7.166123778501632020e-03,nan,nan,4.299674267100977998e-02
