26,35,18,33,56,28,1,34,41,49
46,26,33,18,56,35,27,45,43,41
17,26,56,33,35,18,51,28,43,27
44,26,33,35,28,18,57,24,42,41
44,26,33,18,35,25,11,41,56,30
46,56,26,18,35,1,33,27,28,39
44,26,18,47,56,35,33,28,11,27
29,56,26,35,33,18,30,42,28,25
35,56,26,28,33,18,15,41,27,57
46,33,26,35,56,4,18,45,41,25
32,26,33,56,35,28,18,24,4,43
17,26,56,33,18,30,28,35,27,41
46,35,26,33,27,56,18,45,47,49
26,33,35,56,18,25,28,41,27,43
32,44,35,26,56,41,45,25,33,14
46,35,26,41,18,51,33,11,56,4
29,44,46,56,26,33,43,35,18,41
26,35,33,18,56,28,30,39,15,45
26,56,33,18,27,35,30,52,25,57
26,35,56,18,33,57,25,30,52,51
26,35,56,41,33,18,57,28,43,45
26,35,33,56,27,41,18,25,29,30
26,30,33,35,18,9,51,11,56,43
46,26,35,56,33,27,18,25,43,11
56,26,33,1,35,18,57,41,28,11
17,26,28,27,35,18,33,56,30,43
56,26,35,43,51,28,33,18,15,25
33,26,18,35,25,51,9,57,43,56
44,56,35,26,33,18,11,43,28,27
46,26,56,33,35,18,11,28,45,57
26,35,56,33,18,11,25,49,28,41
46,26,33,18,35,15,56,57,4,28
26,35,56,18,45,30,28,33,41,9
17,18,26,56,35,33,28,43,51,52
35,26,56,33,28,18,43,57,49,59
26,56,35,33,52,18,49,40,15,28
44,26,33,18,35,15,28,56,27,41
29,46,26,33,35,56,41,24,18,1
46,26,56,33,18,35,27,57,43,24
44,26,35,43,56,28,33,27,51,41
33,26,35,56,18,28,40,27,49,15
26,33,35,41,18,43,25,56,47,28
46,35,26,33,18,49,56,57,45,24
26,18,33,35,49,56,24,57,39,52
26,18,28,35,33,57,56,30,45,49
29,26,18,33,35,56,28,25,30,45
26,35,56,33,18,28,43,4,1,57
46,26,33,56,35,18,27,30,43,28
26,56,18,35,33,41,45,57,4,28
44,26,35,56,57,18,33,28,41,25
44,33,26,35,56,18,27,25,15,43
18,26,35,51,33,56,28,11,15,4
56,26,18,33,35,43,30,51,4,25
35,26,33,18,56,43,57,11,45,25
44,26,18,56,33,35,28,11,41,59
33,26,35,56,18,28,41,57,9,45
26,56,33,35,28,18,20,43,14,45
26,56,11,33,35,30,18,25,28,57
44,26,56,33,35,18,25,27,39,15
46,26,56,33,18,35,25,27,41,51
35,26,33,56,18,41,9,51,28,49
17,26,33,18,35,56,15,28,25,57
35,26,33,49,41,18,56,30,57,52
26,33,35,18,56,43,11,29,28,57
44,26,35,18,33,41,30,56,28,51
26,35,18,33,27,28,56,43,41,42
26,18,33,35,56,29,43,30,28,41
26,35,33,39,18,56,28,51,43,1
44,56,26,35,18,33,28,27,43,1
26,56,35,18,28,33,11,59,41,57
32,35,26,33,18,56,30,27,9,57
26,56,35,33,18,57,28,25,41,30
44,56,26,35,57,43,28,33,49,18
26,35,33,52,18,56,30,25,11,4
26,35,33,56,11,18,45,28,57,30
32,26,18,35,56,33,22,41,28,4
56,35,26,18,1,33,16,27,28,25
56,26,33,35,57,45,41,18,43,27
26,18,33,35,56,57,43,28,25,41
46,35,26,56,33,18,27,30,28,57
26,33,56,35,28,18,57,43,41,30
44,26,35,18,33,56,41,9,27,1
26,35,33,18,56,41,59,30,16,57
44,26,18,56,30,51,33,35,4,11
32,26,35,33,18,27,56,28,57,51
17,44,46,56,18,26,33,28,35,27
46,56,26,18,35,33,28,41,25,4
26,35,33,11,18,56,25,45,57,30
17,26,18,33,35,56,28,49,11,41
35,26,56,18,33,28,25,11,40,4
26,56,43,11,33,35,41,18,28,27
26,18,33,15,35,41,1,45,56,27
56,26,33,35,18,51,11,43,25,28
17,26,35,33,56,18,28,41,57,9
56,26,33,35,18,25,41,30,28,57
26,56,33,35,41,18,51,45,1,28
56,26,33,35,18,28,41,47,25,43
46,26,35,33,28,56,25,39,18,29
46,56,26,33,35,18,28,30,25,57
26,35,33,18,56,27,57,28,15,41
