32,60,29,47,17,49,40,50,14,38
32,7,29,39,49,9,60,23,47,13
7,32,29,5,20,50,60,17,38,23
7,29,60,23,20,50,54,39,22,17
29,32,60,7,39,50,17,22,46,23
60,29,22,14,5,50,46,32,13,7
60,7,29,32,14,54,38,23,22,17
29,32,7,5,6,50,58,55,54,53
7,29,23,32,47,20,30,41,25,22
29,32,17,7,46,50,5,22,41,30
7,29,32,23,5,60,14,38,24,54
29,50,32,49,60,39,20,47,54,9
60,29,32,23,54,46,47,5,20,39
7,29,32,14,55,60,38,46,22,23
7,60,29,50,23,14,32,13,47,22
60,29,23,7,6,32,47,38,17,54
7,32,29,60,50,6,14,46,44,49
60,7,29,50,9,39,23,49,44,13
7,32,29,36,23,55,5,58,42,3
7,29,60,5,50,14,55,49,13,46
7,29,50,32,23,38,47,49,17,13
7,29,20,23,49,22,9,17,32,50
7,29,50,60,14,54,22,59,32,11
7,29,60,32,14,50,20,54,44,6
29,7,32,20,54,39,5,60,30,41
29,60,32,7,50,20,39,11,22,13
7,23,29,60,32,44,38,47,50,42
60,32,7,50,14,40,36,9,54,49
60,29,50,7,17,46,39,6,20,32
60,29,5,39,32,7,44,9,38,49
29,32,5,46,42,6,7,20,23,47
60,7,29,50,55,38,54,44,14,30
32,29,60,17,50,23,22,54,13,42
29,7,60,20,46,23,32,50,58,17
32,29,49,7,14,39,41,60,25,36
7,29,60,50,17,5,22,14,46,6
7,29,22,60,23,32,36,17,55,5
32,29,7,60,50,54,46,44,11,42
29,14,7,60,32,54,50,23,5,40
7,29,32,60,50,23,36,44,22,42
29,60,32,22,23,14,5,54,17,6
29,60,39,23,49,9,5,14,22,47
7,29,22,50,32,13,14,60,23,17
29,49,32,5,9,60,39,6,7,44
29,7,20,54,60,50,39,32,46,6
29,7,23,50,32,60,39,22,17,46
7,60,29,32,50,23,25,41,36,55
29,32,60,22,17,25,39,41,46,30
60,32,7,29,50,23,24,13,59,17
32,7,29,60,23,54,50,17,47,46
60,7,29,50,14,32,13,47,54,38
7,60,29,50,49,20,9,39,22,5
60,32,29,7,54,20,13,17,46,58
29,60,32,50,7,39,6,14,5,24
29,7,32,20,5,60,46,13,50,17
29,60,7,32,20,50,14,54,46,23
7,29,60,20,32,54,17,23,6,46
29,32,60,13,24,7,50,22,47,54
7,29,60,32,50,17,46,54,20,47
29,32,23,13,14,5,42,50,44,20
32,60,7,29,23,17,20,49,9,46
60,32,7,29,50,36,6,46,54,11
32,29,60,7,50,36,23,54,5,47
60,50,7,29,32,38,14,23,6,9
60,29,50,7,49,5,20,54,9,6
7,32,29,60,36,23,50,14,37,46
7,60,29,32,14,50,17,20,22,5
7,29,50,60,32,5,23,44,9,47
7,29,44,13,32,60,50,5,20,3
29,23,32,5,50,54,47,60,44,7
7,29,60,54,32,13,39,55,36,17
7,32,29,60,23,47,50,54,4,3
60,29,7,50,23,32,39,55,58,9
7,29,32,60,23,20,47,58,42,38
29,50,60,7,23,32,17,39,5,37
29,7,32,5,49,54,39,60,50,6
60,29,32,50,36,7,13,23,55,37
7,60,29,23,50,13,36,14,32,58
7,60,29,20,50,13,54,14,32,17
7,60,29,32,23,54,22,5,14,39
7,29,60,44,32,23,47,49,54,38
60,32,29,23,13,46,54,20,7,6
60,32,29,14,23,20,22,13,54,36
60,7,29,50,32,5,23,46,13,14
32,29,7,14,60,54,40,50,46,17
32,60,23,7,54,22,36,49,13,9
29,32,54,60,13,47,38,42,24,23
7,29,60,13,50,39,32,23,46,9
29,32,60,22,13,39,7,54,9,4
7,29,60,32,23,50,22,46,39,49
29,32,60,23,22,7,47,54,49,4
60,29,7,32,23,54,22,20,50,44
7,29,23,60,54,6,50,20,32,46
29,32,60,20,5,54,58,50,13,39
7,20,32,29,5,17,60,6,46,42
7,29,14,32,39,40,60,22,23,13
7,60,29,23,50,32,5,54,39,6
7,29,47,54,50,32,17,23,22,6
60,29,7,32,50,5,6,39,9,20
7,29,60,50,32,23,36,55,46,14
