UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
0.6680278281911676,0.7931034482758621,0.7821385359951604,0.8253932244404113,0.749848759830611,0.6893526920750151,0.823200241984271,0.7326073805202661,0.6141107078039928,0.573049001814882,0.5859044162129462,0.7736690865093768,0.8188142770719903,0.7799455535390201,0.8144283121597096,0.683076225045372,0.4956140350877193,0.5128554143980641,0.8210072595281306,0.8253932244404113,0.7369933454325469,0.786524500907441,0.7476557773744706,0.7369933454325469,0.6893526920750151
0.7235122358175752,0.7418659621802001,0.7547969966629589,0.7429783092324805,0.732202447163515,0.6827725250278087,0.6558676307007787,0.7634176863181311,0.5978170189098999,0.5237068965517242,0.5118882091212459,0.7225389321468297,0.7730812013348165,0.7709260289210234,0.7246941045606229,0.7365127919911012,0.5590934371523916,0.5225250278086763,0.7547969966629589,0.745063959955506,0.7386679644048942,0.6827725250278087,0.7386679644048942,0.7612625139043382,0.7504866518353726
0.6236802413273002,0.6214177978883861,0.7021116138763198,0.696078431372549,0.6809954751131221,0.7021116138763198,0.6809954751131221,0.5784313725490196,0.6229260935143287,0.5361990950226244,0.5271493212669682,0.698340874811463,0.6380090497737557,0.6485671191553544,0.6772247360482655,0.6870286576168929,0.5618401206636501,0.5414781297134239,0.6855203619909502,0.6380090497737557,0.6493212669683258,0.6365007541478129,0.698340874811463,0.6726998491704375,0.6681749622926093
0.7830009496676164,0.6971351693573916,0.6648464704020259,0.6840772396327951,0.6586736308958532,0.5748654637543527,0.7397119341563785,0.6765590376701488,0.7335390946502057,0.5384615384615384,0.5384615384615384,0.7204811649256094,0.6456157011712567,0.7548274770496992,0.7012503956948402,0.7163659385881609,0.5755777144666033,0.5,0.7012503956948402,0.6627888572333017,0.7314814814814816,0.6373852484963597,0.7245963912630579,0.6607312440645774,0.6133270022158912
0.6738359201773835,0.686031042128603,0.7271618625277162,0.6395232815964523,0.7614745011086475,0.6792128603104213,0.7271618625277162,0.5893015521064302,0.7157982261640797,0.5861973392461197,0.6037694013303769,0.7668514412416852,0.6738359201773835,0.686031042128603,0.6395232815964523,0.7470066518847006,0.5,0.4940133037694013,0.7248891352549889,0.6494456762749446,0.7004988913525498,0.7180709534368072,0.6905764966740577,0.6661862527716187,0.7271618625277162
0.6338481338481338,0.6812097812097812,0.6909909909909909,0.7195624195624195,0.6722007722007722,0.6503861003861003,0.6624195624195625,0.6624195624195625,0.6293436293436293,0.5985199485199485,0.5985199485199485,0.7075289575289576,0.6436293436293437,0.6293436293436293,0.7097812097812097,0.6624195624195625,0.5315958815958816,0.5045688545688545,0.6526383526383527,0.6954954954954954,0.6481338481338481,0.6338481338481338,0.6436293436293437,0.7195624195624195,0.7270913770913772
0.6752136752136751,0.6495726495726496,0.7136752136752137,0.6623931623931624,0.6217948717948718,0.5235042735042735,0.6175213675213674,0.6047008547008547,0.6324786324786325,0.5256410256410257,0.5235042735042735,0.6303418803418803,0.6111111111111112,0.6837606837606837,0.6175213675213674,0.6132478632478632,0.5192307692307693,0.4871794871794871,0.6858974358974359,0.6260683760683761,0.6709401709401709,0.6944444444444444,0.702991452991453,0.6816239316239315,0.6495726495726496
0.6767106089139987,0.7915097300690522,0.8042215944758319,0.7835844318895165,0.7666352793471437,0.6603107344632768,0.8042215944758319,0.728028876333961,0.7201035781544256,0.6703546767106088,0.6518361581920904,0.6989171374764596,0.7793471437539233,0.7745605775266793,0.8163841807909604,0.7978656622724419,0.5036880100439421,0.6629001883239172,0.8021029504080353,0.7857030759573133,0.7465473948524796,0.7587099811676082,0.8042215944758319,0.841258631512869,0.8021029504080353
0.733402489626556,0.737551867219917,0.7281509336099585,0.753176867219917,0.7260762448132779,0.5990015560165975,0.7260762448132779,0.7042271784232365,0.5854512448132779,0.6073003112033196,0.605225622406639,0.7104512448132779,0.7104512448132779,0.702152489626556,0.7260762448132779,0.675051867219917,0.5042790456431535,0.4771784232365145,0.714600622406639,0.7260762448132779,0.683350622406639,0.6500259336099585,0.6729771784232365,0.6886021784232366,0.717777489626556
0.722,0.7021428571428572,0.7002857142857143,0.7022857142857143,0.7121428571428572,0.615,0.7458571428571428,0.73,0.7855714285714286,0.5197142857142857,0.609,0.7181428571428571,0.7221428571428572,0.7717142857142857,0.7717142857142857,0.7715714285714286,0.5991428571428571,0.6267142857142857,0.7022857142857143,0.7042857142857143,0.7498571428571428,0.8074285714285714,0.7221428571428572,0.6445714285714286,0.6922857142857143
