UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
3.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,7.0,2.0,5.0,5.0,6.0,4.0,17.0,1.0,22.0,1.0,1.0,1.0,2.0,10.0,12.0,1.0,4.0
2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,24.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0
1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,5.0,6.0,7.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
1.0,3.0,1.0,1.0,4.0,8.0,1.0,5.0,4.0,6.0,5.0,2.0,1.0,2.0,3.0,2.0,25.0,4.0,1.0,2.0,1.0,1.0,2.0,14.0,1.0
4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,21.0,17.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0
2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,18.0,17.0,1.0,3.0,1.0,1.0,1.0,4.0,9.0
1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0,2.0,4.0,1.0,6.0,2.0,2.0,6.0,1.0,4.0,5.0,2.0,2.0
2.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,2.0,7.0,1.0,3.0,1.0,2.0,11.0,18.0,1.0,1.0,2.0,2.0,8.0,1.0,3.0
5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,7.0,3.0,1.0,1.0,2.0,7.0,1.0,45.0,3.0,1.0,1.0,3.0,1.0,8.0,1.0,3.0
4.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,18.0,6.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0
1.0,8.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,48.0,1.0,1.0,9.0,1.0,1.0,4.0,1.0,4.0
9.0,5.0,1.0,6.0,7.0,1.0,6.0,6.0,11.0,9.0,9.0,1.0,3.0,8.0,3.0,8.0,23.0,18.0,1.0,3.0,7.0,8.0,9.0,3.0,6.0
1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
15.0,11.0,1.0,2.0,2.0,27.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,6.0,1.0,2.0,23.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0
3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,58.0,13.0,2.0,7.0,1.0,3.0,1.0,1.0,78.0,4.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0
2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,6.0,3.0,3.0,10.0,1.0,3.0,1.0,1.0,94.0,26.0,1.0,3.0,1.0,4.0,1.0,12.0,1.0
9.0,4.0,1.0,2.0,5.0,8.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,51.0,20.0,1.0,2.0,4.0,1.0,4.0,7.0,13.0
2.0,3.0,2.0,2.0,1.0,8.0,2.0,1.0,11.0,2.0,3.0,7.0,1.0,2.0,1.0,2.0,69.0,19.0,1.0,1.0,5.0,1.0,5.0,7.0,2.0
6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0
9.0,4.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0
1.0,1.0,3.0,1.0,2.0,9.0,1.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,54.0,40.0,1.0,3.0,2.0,1.0,1.0,9.0,1.0
4.0,3.0,3.0,1.0,7.0,66.0,1.0,1.0,2.0,2.0,2.0,8.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0
1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,9.0,3.0,1.0,1.0,2.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
4.0,1.0,4.0,3.0,2.0,12.0,1.0,1.0,12.0,7.0,7.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0
3.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,46.0,46.0,3.0,1.0,4.0,1.0,1.0,36.0,21.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0
3.0,9.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,18.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,17.0
