31,48,10,12,19,23,2,61,37,8
31,48,12,19,23,58,8,2,37,10
12,31,19,48,37,8,10,2,61,3
48,19,61,2,31,8,53,10,36,23
31,12,19,8,48,53,3,23,10,2
48,31,19,2,61,12,53,10,54,3
48,31,12,19,8,54,37,23,10,2
12,10,48,19,31,8,2,3,37,61
48,31,12,8,19,3,23,10,37,54
12,48,31,37,10,19,2,23,61,36
48,10,19,23,8,31,2,61,3,54
31,48,2,61,3,12,19,8,23,53
12,31,8,53,19,48,3,10,58,2
48,23,12,31,37,8,19,10,2,53
12,48,31,19,61,2,8,58,37,10
48,12,31,8,19,54,10,3,37,58
31,12,19,10,58,48,53,3,37,38
12,48,31,2,8,10,19,53,61,55
12,19,10,3,37,58,31,48,53,36
12,48,31,10,23,19,58,55,37,8
48,2,61,10,31,53,12,38,37,19
48,53,2,19,8,61,31,10,23,36
31,19,10,12,48,3,8,37,2,61
48,19,31,12,8,58,36,23,61,3
10,48,2,37,12,19,8,31,61,53
48,8,19,10,36,2,31,53,55,61
31,12,48,53,19,23,2,61,10,55
12,19,8,48,10,37,23,31,3,54
48,8,58,3,53,12,10,37,2,19
48,53,31,10,19,36,8,2,61,12
12,48,31,19,37,8,54,10,2,23
48,19,8,31,58,12,37,61,2,10
48,8,19,23,31,2,61,3,12,10
48,8,31,23,19,3,38,2,61,12
48,19,23,12,31,8,3,37,53,2
53,48,19,12,3,37,2,23,31,10
48,19,37,8,12,31,10,3,2,53
12,48,31,19,37,61,2,8,10,36
10,12,2,61,48,37,19,53,31,8
48,31,12,8,37,19,2,61,38,23
8,48,53,37,55,10,23,19,12,31
48,2,12,10,23,61,8,31,19,3
12,19,10,48,2,37,61,31,3,53
48,19,53,12,2,58,8,54,3,61
48,31,12,19,2,8,61,55,58,10
48,12,2,8,10,53,19,23,36,61
48,8,31,2,61,19,54,23,10,36
53,48,19,12,31,37,58,3,8,10
48,12,10,19,58,8,53,31,37,3
12,48,8,31,19,37,2,23,61,10
48,12,2,31,54,10,19,8,37,61
48,12,19,31,61,23,10,58,2,3
12,53,48,19,58,8,31,3,10,37
10,12,48,31,37,58,19,61,8,3
12,2,31,58,48,61,3,53,10,54
48,12,31,8,23,19,2,3,53,61
12,2,61,8,48,10,54,3,38,19
48,8,31,58,61,2,53,10,23,37
12,48,2,31,3,61,8,19,37,10
48,10,37,8,3,19,12,31,23,2
48,8,3,2,12,61,36,10,55,53
19,31,12,48,8,3,10,37,23,2
48,12,8,19,31,2,23,3,61,10
19,48,23,8,10,37,12,31,53,2
48,36,2,12,58,61,31,3,23,53
12,19,31,48,8,53,2,37,10,3
48,31,19,10,12,37,8,3,54,23
61,2,12,8,48,10,19,31,23,36
19,48,10,8,2,31,61,54,36,53
12,48,36,38,58,37,10,19,55,23
48,10,12,31,2,23,3,19,54,8
48,12,8,2,19,61,53,38,37,31
48,31,58,12,19,8,3,37,10,54
12,19,48,31,8,3,2,55,61,36
12,48,31,8,19,61,2,10,3,37
48,19,10,8,2,23,31,53,61,3
8,48,31,2,12,10,61,37,53,19
31,19,48,2,8,12,61,10,23,37
48,12,19,31,10,54,53,8,2,61
10,48,23,8,37,12,31,3,19,58
48,31,19,23,61,2,12,8,10,53
12,48,3,53,58,37,8,19,54,10
12,48,3,10,61,2,31,36,55,19
12,19,48,61,8,10,2,55,37,58
2,37,61,48,58,12,19,3,8,10
19,48,12,31,53,8,36,61,2,55
12,31,48,8,2,10,3,19,37,23
48,19,61,2,10,8,31,23,36,53
48,61,54,12,19,10,2,37,31,3
48,12,31,53,10,37,19,8,23,36
48,12,31,10,23,37,8,19,2,3
48,12,2,23,61,37,31,53,10,54
31,10,48,12,37,19,3,23,8,53
48,31,19,23,3,10,8,2,61,53
12,48,31,2,19,10,61,3,37,8
48,3,31,10,19,12,61,2,8,36
12,48,31,19,3,8,58,53,2,23
12,10,48,31,37,2,8,61,19,23
48,37,12,8,53,31,10,2,3,58
12,48,53,10,38,31,3,2,58,61
