nan,nan,nan,nan,nan,nan,nan,nan,1.146131805157568542e-03,nan,1.146131805157592776e-01,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.719197707736386206e-03,nan,nan,nan,nan,nan,nan,2.292263610315181752e-03,nan,nan,nan,nan,-4.584527220630407740e-03,nan,nan,nan,5.730659025787954381e-04,nan,6.876790830945544823e-03,nan,nan,nan,nan,1.031518624641831680e-02,nan,nan,nan,nan,nan
nan,nan,5.013927576601595951e-03,nan,nan,nan,nan,nan,7.799442896935859966e-03,nan,nan,nan,nan,nan,nan,nan,5.571030640668483795e-03,nan,nan,nan,nan,nan,-1.671309192200598481e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.465181058495817812e-02,nan,nan,nan,nan,nan,nan,nan,nan,4.456824512534774026e-03,nan,nan,nan,1.838440111420607329e-02,nan,nan,3.899721448467929983e-03,nan,nan,-3.342618384401174845e-03,nan,nan,nan,5.571030640667995904e-04
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.351955307262555021e-03,nan,6.201117318435751813e-02,nan,nan,1.508379888268152058e-02,nan,nan,3.910614525139632924e-03,7.541899441340779719e-02,nan,nan,nan,nan,nan,nan,7.430167597765360843e-02,nan,nan,nan,nan,nan,1.787709497206699943e-02,nan,nan,nan,1.731843575418991893e-02,nan,nan,nan,nan,2.346368715083795367e-02,1.787709497206699943e-02,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.086253369272231040e-02,nan,nan,-3.234501347708929227e-03,nan,nan,nan,nan,nan,-5.390835579514918546e-04,-2.695417789757459381e-03,nan,nan,nan,nan,nan,nan,nan,-4.851752021563360447e-03,nan,nan,nan,nan,1.078167115902939257e-03,nan,nan,nan,nan,-2.156334231805945301e-03,-2.220446049250313204e-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.156334231805878514e-03,nan,nan,nan,nan,6.469002695417747431e-03,nan,nan,nan,nan,nan
nan,nan,nan,nan,4.945054945055015957e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.593406593406658453e-03,nan,nan,1.318681318681322844e-02,nan,nan,nan,nan,nan,5.494505494505586007e-03,nan,nan,nan,2.220446049250313204e-17,6.593406593406681004e-03,4.945054945055038509e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.098901098901094997e-03,nan,5.274725274725276108e-02,nan,nan,5.494505494505919508e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,6.760563380281680960e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,3.380281690140840480e-03,nan,nan,nan,1.183098591549294233e-02,nan,nan,nan,nan,nan,nan,nan,nan,8.676056338028168002e-02,nan,nan,5.633802816901401162e-04,nan,nan,nan,nan,9.014084507042241859e-03,nan,nan,nan,0.000000000000000000e+00,nan,nan,5.633802816901400945e-03,nan,nan,nan,0.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.643799472295513653e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.110817941952536445e-03,nan,nan,nan,-5.277044854881118852e-04,nan,-5.804749340369385995e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.583113456464402225e-03,nan,nan,nan,nan,nan,nan,1.319261213720317530e-02,-8.443271767810034759e-03,nan,-2.638522427440626213e-03,nan,-1.583113456464380108e-03,nan,nan,5.277044854881341113e-04,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,2.222222222222214414e-03,nan,6.000000000000003247e-02,nan,nan,nan,nan,nan,-1.111111111111107207e-03,-3.888888888888874899e-03,nan,nan,nan,nan,nan,nan,nan,nan,-1.111111111111107207e-03,-5.555555555555536035e-04,nan,nan,nan,3.333333333333321404e-03,2.111111111111114644e-02,nan,5.611111111111115324e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.555555555555559216e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,-5.347593582887722342e-04,nan,nan,nan,nan,-5.347593582887722342e-04,nan,3.315508021390371762e-02,nan,-2.673796791443860954e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.069518716577544468e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.625668449197832127e-03,nan,nan,nan,2.139037433155022150e-03,nan,nan,4.812834224598883104e-03,nan,-4.278074866310177873e-03,8.556149732620265541e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.833333333333331538e-02,nan,nan,nan,nan,nan,3.888888888888874899e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.055555555555551771e-02,nan,nan,-5.000000000000004441e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.499999999999994740e-02,nan,1.111111111111107207e-03,nan,nan,-7.222222222222263524e-03,nan,2.277777777777776486e-02,4.333333333333329318e-02,nan,nan,nan,1.611111111111105526e-02,nan,nan,nan,nan,nan
nan,nan,nan,1.639344262295083701e-03,nan,nan,nan,nan,-1.092896174863389278e-03,nan,3.278688524590167575e-02,nan,nan,nan,nan,nan,-2.732240437158472979e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.918032786885251535e-03,nan,nan,nan,nan,-3.278688524590167401e-03,nan,nan,nan,nan,7.650273224043724514e-03,nan,1.366120218579236489e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.295081967213117441e-02,nan,nan,nan,4.918032786885251535e-03,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.076502732240439325e-02,nan,nan,7.431693989071042061e-02,nan,nan,nan,4.371584699453557113e-03,nan,nan,nan,nan,nan,nan,nan,1.639344262295083787e-02,nan,1.639344262295083701e-03,nan,nan,nan,2.786885245901642508e-02,nan,1.420765027322406018e-02,nan,nan,nan,nan,nan,nan,nan,-1.092896174863389278e-03,2.038251366120218400e-01,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.524861878452913327e-04,nan,nan,nan,nan,nan,nan,6.629834254143584897e-03,nan,nan,nan,nan,nan,3.867403314917126217e-02,nan,6.629834254143584897e-03,nan,nan,1.381215469613255101e-02,nan,1.298342541436463826e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.104972375690560548e-03,nan,nan,nan,nan,nan,1.104972375690560548e-03,nan,nan,nan,nan,3.314917127071770331e-03,nan,nan,9.779005524861875132e-02,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.756756756756763682e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.621621621621671628e-03,nan,1.081081081081085651e-02,nan,nan,1.459459459459464502e-02,nan,2.162162162162228982e-03,nan,nan,2.054054054054057360e-02,nan,nan,nan,nan,nan,nan,nan,1.621621621621671628e-03,nan,nan,nan,nan,nan,1.621621621621671628e-03,nan,nan,nan,3.243243243243321139e-03,nan,nan,1.891891891891894772e-02,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,5.571030640668439343e-04,nan,nan,nan,nan,nan,1.236768802228412206e-01,nan,nan,nan,nan,nan,nan,-1.114206128133710203e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.342618384401085940e-03,nan,nan,2.896935933147630829e-02,nan,3.565459610027854609e-02,nan,nan,nan,nan,nan,nan,3.899721448467952101e-03,nan,nan,nan,nan,nan,nan,nan,4.456824512534818261e-03,nan,nan,-5.571030640668439343e-04,nan,nan,nan,-1.671309192200554029e-03,nan,nan,nan,nan,nan
8.426966292134819084e-03,nan,nan,2.359550561797753992e-02,1.685393258426959393e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.516853932584272258e-02,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,5.617977528089878811e-03,nan,nan,nan,nan,nan,nan,nan,nan,7.191011235955055425e-02,nan,nan,1.067415730337077998e-02,nan,nan,nan,nan,nan,-2.247191011235938340e-03,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,1.933701657458557557e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.116022099447507188e-02,nan,nan,nan,6.077348066298293890e-03,-2.762430939226567794e-03,nan,5.524861878452913327e-04,nan,9.392265193370108456e-03,nan,nan,nan,nan,nan,nan,-3.314917127071881353e-03,nan,nan,nan,-2.220446049250313204e-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.287292817679503890e-03,0.000000000000000000e+00,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,2.356164383561640957e-02,nan,nan,nan,nan,1.643835616438351493e-02,nan,nan,nan,nan,nan,nan,-9.315068493150734791e-03,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,1.643835616438353922e-02,nan,nan,nan,9.863013698630096818e-03,2.082191780821913626e-02,nan,nan,nan,nan,7.232876712328764612e-02,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,-5.479452054794719650e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,4.774535809018565571e-03,nan,nan,nan,nan,nan,nan,7.374005305039790792e-02,nan,nan,nan,nan,nan,nan,nan,nan,-3.713527851458864239e-03,nan,nan,nan,nan,nan,nan,2.122015915119401797e-03,nan,-2.122015915119335010e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.366047745358071816e-03,nan,nan,5.835543766578266470e-03,nan,nan,nan,nan,nan,2.220446049250313204e-17,9.018567639257301510e-03,nan,nan,nan,1.591511936339551347e-03,nan,nan,nan,nan,nan
4.481792717086818811e-03,nan,nan,nan,1.400560224089635389e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.801120448179261757e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.577030812324931919e-02,nan,nan,-5.602240896358523514e-04,-1.680672268907557054e-03,nan,nan,nan,nan,2.801120448179261757e-03,nan,nan,nan,nan,nan,4.817927170868348263e-02,nan,nan,nan,2.240896358543409406e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.602240896358523514e-04,nan,nan,nan,nan
nan,nan,nan,5.333333333333633913e-04,nan,5.333333333333633913e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,-1.599999999999979260e-03,-3.733333333333299468e-03,nan,nan,nan,nan,4.800000000000049019e-03,nan,nan,nan,4.800000000000049019e-03,nan,nan,nan,5.333333333333411651e-04,nan,-7.999999999999962003e-03,nan,nan,4.533333333333337822e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,1.634877384196209427e-03,nan,nan,nan,nan,nan,1.907356948228882201e-02,nan,nan,nan,1.689373297002727536e-02,nan,nan,nan,nan,1.089918256130806284e-03,nan,nan,nan,nan,1.198910081743871300e-02,nan,-2.220446049250313204e-17,nan,-5.449591280654031422e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.179836512261612569e-03,nan,nan,nan,nan,nan,1.089918256130784167e-03,nan,nan,nan,nan,nan,nan,nan,3.215258855585832048e-02,nan,nan
1.173333333333330744e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.066666666666682330e-03,6.933333333333369444e-03,nan,nan,8.853333333333331112e-02,nan,nan,-5.333333333333411651e-04,7.466666666666665723e-03,0.000000000000000000e+00,nan,nan,nan,3.733333333333366255e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,5.333333333333190474e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.260638297872340163e-01,nan,nan,2.659574468085068588e-03,nan,nan,nan,nan,nan,nan,3.723404255319118315e-03,nan,nan,nan,nan,nan,-3.723404255319162550e-03,0.000000000000000000e+00,-2.127659574468121571e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.063829787234071844e-03,nan,nan,nan,1.489361702127656173e-02,nan,nan,nan,nan,-1.595744680851129884e-03,-2.220446049250313204e-17,nan,nan,nan,nan
nan,nan,nan,1.144414168937326649e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.852861035422339459e-02,8.174386920980891008e-03,nan,nan,nan,nan,nan,5.449591280653809161e-04,nan,2.179836512261545782e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.089918256130788590e-02,nan,nan,nan,nan,1.089918256130739714e-03,2.724795640326926807e-03,nan,nan,nan,nan,nan,nan,8.664850136239779510e-02,nan,nan,nan,1.089918256130761832e-03,nan,nan,nan,nan,nan
