32,47,13,42,40,4,27,24,11,9
29,9,21,45,56,20,44,52,15,11
16,30,57,51,9,44,42,25,11,28
45,27,46,1,16,9,52,44,41,30
9,39,49,22,21,17,30,51,57,1
42,24,47,11,1,9,25,41,30,52
1,40,28,44,15,35,26,41,27,25
47,34,27,39,29,9,20,1,45,11
51,46,57,44,25,4,9,24,11,1
15,29,9,59,57,42,20,25,39,52
9,28,13,51,27,42,25,45,52,35
45,39,24,51,1,57,11,44,15,30
21,15,28,59,27,11,57,41,52,56
51,9,47,24,44,59,34,40,52,27
29,49,20,40,9,51,44,21,28,32
39,27,20,59,51,57,13,6,56,21
27,51,29,17,59,1,24,25,56,18
47,14,39,44,59,57,24,13,52,11
39,42,1,44,27,21,57,51,52,56
25,4,24,1,46,51,40,20,11,35
29,27,51,15,4,21,52,56,25,28
29,1,57,9,5,28,27,4,44,59
44,4,29,59,21,49,57,24,47,25
29,51,59,27,17,42,57,28,25,56
28,57,44,49,11,45,35,26,25,43
47,21,28,1,45,51,59,18,25,30
5,40,24,39,21,52,11,20,1,57
47,29,6,9,39,44,11,15,25,27
42,59,45,43,39,15,29,57,27,9
16,22,11,51,21,44,4,30,45,56
29,51,59,24,27,17,44,21,11,52
29,51,27,49,56,21,25,45,28,9
59,1,25,52,49,44,21,45,57,27
46,20,29,13,27,11,4,9,59,39
39,46,42,4,44,52,57,45,25,21
39,21,11,40,35,18,56,41,43,42
20,22,27,59,51,9,28,52,49,29
40,6,49,1,9,51,47,41,43,28
27,42,49,56,25,52,39,28,17,21
15,59,40,51,18,44,25,30,43,11
34,27,29,59,42,18,11,21,56,24
9,51,40,42,49,44,27,57,21,52
40,22,24,42,46,44,51,28,30,4
39,9,49,14,1,25,27,21,57,11
14,40,57,46,1,52,45,44,49,51
27,49,51,4,57,56,29,59,28,14
1,21,52,11,44,49,15,57,43,6
5,21,57,11,15,44,4,25,30,49
42,59,57,44,25,21,45,52,11,1
42,28,57,59,27,9,34,1,49,56
20,34,29,46,13,27,6,9,40,11
34,51,29,27,21,56,25,1,57,49
57,1,45,25,28,42,18,11,59,21
21,11,40,51,46,27,52,24,17,56
51,29,27,47,4,49,39,9,6,34
24,39,59,20,6,11,28,51,21,14
29,44,11,14,40,45,16,30,21,27
4,59,44,1,11,57,21,18,52,45
40,1,44,42,28,11,57,45,25,18
29,11,24,27,52,9,39,51,21,57
15,5,6,39,24,44,25,9,11,21
29,9,57,28,1,21,11,51,59,32
13,6,4,57,28,21,39,11,52,20
29,46,1,27,44,52,51,40,59,11
28,14,15,21,27,49,57,25,43,44
39,27,28,25,51,56,52,9,21,41
13,45,28,44,15,43,4,57,40,1
29,28,9,57,1,24,59,6,27,51
21,11,57,20,28,52,25,43,15,18
29,39,32,21,4,28,11,44,52,43
29,46,59,42,27,21,40,51,14,6
57,16,40,51,13,20,52,1,4,9
27,51,17,21,56,28,29,18,35,49
6,39,59,45,21,27,25,1,15,11
29,1,27,42,51,59,17,21,56,25
5,15,6,40,27,51,4,25,21,9
40,14,47,1,25,18,28,35,41,30
40,24,6,42,44,20,52,27,49,59
15,5,21,28,27,4,44,56,57,45
40,14,57,1,20,9,45,52,25,51
49,20,57,40,28,11,42,25,52,1
45,43,15,4,11,44,25,28,21,52
51,4,21,28,25,52,16,43,45,56
13,9,39,24,14,4,25,40,35,11
27,29,1,30,21,41,59,57,9,45
42,59,49,39,9,57,4,44,51,40
45,15,57,43,28,11,21,1,35,27
15,27,21,4,5,57,44,49,28,11
45,43,15,30,57,16,4,18,28,11
29,59,27,5,1,49,25,11,15,39
43,15,45,4,47,52,24,25,16,21
51,15,43,45,30,41,28,44,24,9
14,20,29,1,45,49,51,52,6,27
20,46,29,39,9,11,27,13,52,42
28,57,40,44,21,51,49,45,11,16
29,51,45,16,40,57,27,25,56,43
45,43,15,29,40,51,27,4,9,34
13,22,32,27,1,46,34,40,20,6
46,11,17,15,52,59,25,42,43,4
5,15,28,39,40,51,6,4,27,21
